"","x","y","share_100","year"
"635",-297.5,-415.5,0,2003
"636",-297.5,-404,0,2003
"637",-297.5,-392,0,2003
"638",-297.5,-380.5,0,2003
"639",-297.5,-369,0,2003
"640",-297.5,-357.5,0,2003
"641",-297.5,-346,0,2003
"642",-297.5,-334,0,2003
"643",-297.5,-322.5,0,2003
"644",-297.5,-311,0,2003
"645",-297.5,-299.5,0,2003
"646",-297.5,-288,0,2003
"647",-297.5,-276.5,0,2003
"648",-297.5,-265,0,2003
"649",-297.5,-253,0,2003
"650",-297.5,-241.5,0,2003
"651",-297.5,-230,0,2003
"652",-297.5,-218.5,0,2003
"653",-297.5,-207,0,2003
"654",-297.5,-195,0,2003
"655",-297.5,-183.5,0,2003
"656",-297.5,-172,0,2003
"657",-297.5,-160.5,0,2003
"658",-297.5,-149,0,2003
"659",-297.5,-137,0,2003
"660",-297.5,-125.5,0,2003
"661",-297.5,-114,0,2003
"662",-297.5,-102.3,0,2003
"663",-297.5,-90.8,0,2003
"664",-297.5,-79.25,0,2003
"665",-297.5,-67.7,0,2003
"666",-297.5,-56.1,0,2003
"667",-297.5,-44.5,0,2003
"668",-297.5,-32.9,0,2003
"669",-297.5,-21.3,1.404401,2003
"670",-297.5,-9.705,2.638926,2003
"671",-297.5,1.885,3.321851,2003
"672",-297.5,13.49,1.031726,2003
"673",-297.5,25.1,0,2003
"674",-297.5,36.7,1.935351,2003
"675",-297.5,48.25,2.34146766666667,2003
"676",-297.5,59.8,2.122676,2003
"677",-297.5,71.4,1.862301,2003
"678",-297.5,83,2.466221,2003
"679",-297.5,94.4,1.665701,2003
"680",-297.5,106,1.337451,2003
"681",-297.5,118,1.656476,2003
"682",-297.5,129.5,0.833601,2003
"683",-297.5,141,1.392051,2003
"684",-297.5,152.5,1.94364805882353,2003
"685",-297.5,164,1.03727242857143,2003
"686",-297.5,176,1.04643433333333,2003
"687",-297.5,187.5,1.147201,2003
"688",-297.5,199,1.612551,2003
"689",-297.5,210.5,1.431201,2003
"690",-297.5,222,0,2003
"691",-297.5,234,0,2003
"692",-297.5,245.5,0,2003
"693",-297.5,257,0,2003
"694",-297.5,268.5,0,2003
"695",-297.5,280,0,2003
"696",-297.5,291.5,0,2003
